elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date
27.0,1,0.0,1.0,1.3169004676018705,1.3696726786907147,Friendly,2.0,1.0,Libya,Mali,2010-03-03
142.0,1,0.0,0.9913164293157346,0.7033707865168539,3.4198161389172625,AFC Asian Cup qualification,2.0,1.0,Jordan,Singapore,2010-03-03
-151.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,North Macedonia,Montenegro,2010-03-03
172.0,0,1.321220365332297,1.321220365332297,1.7348251028806585,1.8524948559670782,Friendly,0.0,0.0,Italy,Cameroon,2010-03-03
-49.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,0.0,Albania,Northern Ireland,2010-03-03
-329.0,1,0.19318472969510633,1.6510376633358954,1.321220365332297,1.321220365332297,Friendly,0.0,3.0,Algeria,Serbia,2010-03-03
-115.0,1,1.3784586313942502,1.2356593332433528,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,Angola,Latvia,2010-03-03
-195.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,Armenia,Belarus,2010-03-03
487.0,1,2.0,2.0,1.0,2.0,AFC Asian Cup qualification,1.0,0.0,Australia,Indonesia,2010-03-03
-116.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,Austria,Denmark,2010-03-03
-283.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Belgium,Croatia,2010-03-03
-88.0,1,1.321220365332297,1.321220365332297,0.5900824283658249,0.2294910375507,Friendly,2.0,1.0,Bosnia and Herzegovina,Ghana,2010-03-03
116.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Cyprus,Iceland,2010-03-03
265.0,1,1.7963855421686747,0.603855421686747,1.6057525415323581,2.4673939995040914,AFC Asian Cup qualification,2.0,0.0,Japan,Bahrain,2010-03-03
221.0,1,1.321220365332297,1.321220365332297,2.2801950487621907,0.31864216054013506,Friendly,3.0,1.0,England,Egypt,2010-03-03
-135.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,France,Spain,2010-03-03
-35.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,Georgia,Estonia,2010-03-03
