Simulation_ID,Hits,Iterations_Per_Simulation,Estimated_Pi,Actual_Pi,Absolute_Error,Percentage_Error_Percent,Start_Time_ms,End_Time_ms,Duration_ms
175,39202,50000,3.136160,3.14159265359,0.00543265,0.172927,1790106607277.504395,1790106607319.900146,42.395648
176,39212,50000,3.136960,3.14159265359,0.00463265,0.147462,1790106607277.504395,1790106607319.900146,42.395648
177,39428,50000,3.154240,3.14159265359,0.01264735,0.402578,1790106607277.504395,1790106607319.900146,42.395648
178,39262,50000,3.140960,3.14159265359,0.00063265,0.020138,1790106607277.504395,1790106607319.900146,42.395648
179,39272,50000,3.141760,3.14159265359,0.00016735,0.005327,1790106607277.504395,1790106607319.900146,42.395648
180,39297,50000,3.143760,3.14159265359,0.00216735,0.068989,1790106607277.504395,1790106607319.900146,42.395648
181,39319,50000,3.145520,3.14159265359,0.00392735,0.125011,1790106607277.504395,1790106607319.900146,42.395648
182,39324,50000,3.145920,3.14159265359,0.00432735,0.137744,1790106607277.504395,1790106607319.900146,42.395648
183,39435,50000,3.154800,3.14159265359,0.01320735,0.420403,1790106607277.504395,1790106607319.900146,42.395648
184,39297,50000,3.143760,3.14159265359,0.00216735,0.068989,1790106607277.504395,1790106607319.900146,42.395648
185,39198,50000,3.135840,3.14159265359,0.00575265,0.183113,1790106607277.504395,1790106607319.900146,42.395648
186,39209,50000,3.136720,3.14159265359,0.00487265,0.155101,1790106607277.504395,1790106607319.900146,42.395648
187,39231,50000,3.138480,3.14159265359,0.00311265,0.099079,1790106607277.504395,1790106607319.900146,42.395648
188,39245,50000,3.139600,3.14159265359,0.00199265,0.063428,1790106607277.504395,1790106607319.900146,42.395648
189,39294,50000,3.143520,3.14159265359,0.00192735,0.061349,1790106607277.504395,1790106607319.900146,42.395648
190,39379,50000,3.150320,3.14159265359,0.00872735,0.277800,1790106607277.504395,1790106607319.900146,42.395648
191,39150,50000,3.132000,3.14159265359,0.00959265,0.305344,1790106607277.504395,1790106607319.900146,42.395648
192,39113,50000,3.129040,3.14159265359,0.01255265,0.399563,1790106607277.504395,1790106607320.004639,42.500096
193,39272,50000,3.141760,3.14159265359,0.00016735,0.005327,1790106607277.504395,1790106607320.004639,42.500096
194,39187,50000,3.134960,3.14159265359,0.00663265,0.211124,1790106607277.504395,1790106607320.004639,42.500096
195,39264,50000,3.141120,3.14159265359,0.00047265,0.015045,1790106607277.504395,1790106607320.004639,42.500096
196,39294,50000,3.143520,3.14159265359,0.00192735,0.061349,1790106607277.504395,1790106607320.004639,42.500096
197,39264,50000,3.141120,3.14159265359,0.00047265,0.015045,1790106607277.504395,1790106607320.004639,42.500096
198,39409,50000,3.152720,3.14159265359,0.01112735,0.354194,1790106607277.504395,1790106607320.004639,42.500096
199,39306,50000,3.144480,3.14159265359,0.00288735,0.091907,1790106607277.504395,1790106607320.004639,42.500096
200,39353,50000,3.148240,3.14159265359,0.00664735,0.211592,1790106607277.504395,1790106607320.004639,42.500096
201,39201,50000,3.136080,3.14159265359,0.00551265,0.175473,1790106607277.504395,1790106607320.004639,42.500096
202,39405,50000,3.152400,3.14159265359,0.01080735,0.344009,1790106607277.504395,1790106607320.004639,42.500096
203,39487,50000,3.158960,3.14159265359,0.01736735,0.552820,1790106607277.504395,1790106607320.004639,42.500096
204,39100,50000,3.128000,3.14159265359,0.01359265,0.432668,1790106607277.504395,1790106607320.004639,42.500096
205,39147,50000,3.131760,3.14159265359,0.00983265,0.312983,1790106607277.504395,1790106607320.004639,42.500096
206,39357,50000,3.148560,3.14159265359,0.00696735,0.221778,1790106607277.504395,1790106607320.004639,42.500096
207,39270,50000,3.141600,3.14159265359,0.00000735,0.000234,1790106607277.504395,1790106607320.004639,42.500096
208,39134,50000,3.130720,3.14159265359,0.01087265,0.346087,1790106607277.504395,1790106607320.004639,42.500096
209,39209,50000,3.136720,3.14159265359,0.00487265,0.155101,1790106607277.504395,1790106607320.004639,42.500096
210,39339,50000,3.147120,3.14159265359,0.00552735,0.175941,1790106607277.504395,1790106607320.004639,42.500096
211,39234,50000,3.138720,3.14159265359,0.00287265,0.091439,1790106607277.504395,1790106607320.004639,42.500096
212,39430,50000,3.154400,3.14159265359,0.01280735,0.407670,1790106607277.504395,1790106607320.004639,42.500096
213,39370,50000,3.149600,3.14159265359,0.00800735,0.254882,1790106607277.504395,1790106607320.004639,42.500096
214,39314,50000,3.145120,3.14159265359,0.00352735,0.112279,1790106607277.504395,1790106607320.004639,42.500096
215,39444,50000,3.155520,3.14159265359,0.01392735,0.443321,1790106607277.504395,1790106607320.004639,42.500096
216,39392,50000,3.151360,3.14159265359,0.00976735,0.310904,1790106607277.504395,1790106607320.004639,42.500096
217,39187,50000,3.134960,3.14159265359,0.00663265,0.211124,1790106607277.504395,1790106607320.004639,42.500096
218,39323,50000,3.145840,3.14159265359,0.00424735,0.135197,1790106607277.504395,1790106607320.004639,42.500096
219,39339,50000,3.147120,3.14159265359,0.00552735,0.175941,1790106607277.504395,1790106607320.004639,42.500096
220,39310,50000,3.144800,3.14159265359,0.00320735,0.102093,1790106607277.504395,1790106607320.004639,42.500096
221,39315,50000,3.145200,3.14159265359,0.00360735,0.114825,1790106607277.504395,1790106607320.004639,42.500096
222,39199,50000,3.135920,3.14159265359,0.00567265,0.180566,1790106607277.504395,1790106607320.004639,42.500096
223,39264,50000,3.141120,3.14159265359,0.00047265,0.015045,1790106607277.504395,1790106607320.004639,42.500096
224,39130,50000,3.130400,3.14159265359,0.01119265,0.356273,1790106607277.504395,1790106607320.002441,42.498048
225,39207,50000,3.136560,3.14159265359,0.00503265,0.160194,1790106607277.504395,1790106607320.002441,42.498048
226,39293,50000,3.143440,3.14159265359,0.00184735,0.058803,1790106607277.504395,1790106607320.002441,42.498048
227,39239,50000,3.139120,3.14159265359,0.00247265,0.078707,1790106607277.504395,1790106607320.002441,42.498048
228,39257,50000,3.140560,3.14159265359,0.00103265,0.032870,1790106607277.504395,1790106607320.002441,42.498048
229,39334,50000,3.146720,3.14159265359,0.00512735,0.163209,1790106607277.504395,1790106607320.002441,42.498048
230,39313,50000,3.145040,3.14159265359,0.00344735,0.109732,1790106607277.504395,1790106607320.002441,42.498048
231,39258,50000,3.140640,3.14159265359,0.00095265,0.030324,1790106607277.504395,1790106607320.002441,42.498048
232,39102,50000,3.128160,3.14159265359,0.01343265,0.427575,1790106607277.504395,1790106607320.002441,42.498048
233,39404,50000,3.152320,3.14159265359,0.01072735,0.341462,1790106607277.504395,1790106607320.002441,42.498048
234,39296,50000,3.143680,3.14159265359,0.00208735,0.066442,1790106607277.504395,1790106607320.002441,42.498048
235,39163,50000,3.133040,3.14159265359,0.00855265,0.272239,1790106607277.504395,1790106607320.002441,42.498048
236,39206,50000,3.136480,3.14159265359,0.00511265,0.162741,1790106607277.504395,1790106607320.002441,42.498048
237,39112,50000,3.128960,3.14159265359,0.01263265,0.402110,1790106607277.504395,1790106607320.002441,42.498048
238,39458,50000,3.156640,3.14159265359,0.01504735,0.478972,1790106607277.504395,1790106607320.002441,42.498048
239,39257,50000,3.140560,3.14159265359,0.00103265,0.032870,1790106607277.504395,1790106607320.002441,42.498048
240,39188,50000,3.135040,3.14159265359,0.00655265,0.208577,1790106607277.504395,1790106607320.002441,42.498048
241,39220,50000,3.137600,3.14159265359,0.00399265,0.127090,1790106607277.504395,1790106607320.002441,42.498048
242,39232,50000,3.138560,3.14159265359,0.00303265,0.096532,1790106607277.504395,1790106607320.002441,42.498048
243,39154,50000,3.132320,3.14159265359,0.00927265,0.295158,1790106607277.504395,1790106607320.002441,42.498048
244,39303,50000,3.144240,3.14159265359,0.00264735,0.084268,1790106607277.504395,1790106607320.002441,42.498048
245,39138,50000,3.131040,3.14159265359,0.01055265,0.335901,1790106607277.504395,1790106607320.002441,42.498048
246,39519,50000,3.161520,3.14159265359,0.01992735,0.634307,1790106607277.504395,1790106607320.002441,42.498048
247,39252,50000,3.140160,3.14159265359,0.00143265,0.045603,1790106607277.504395,1790106607320.002441,42.498048
248,39329,50000,3.146320,3.14159265359,0.00472735,0.150476,1790106607277.504395,1790106607320.002441,42.498048
249,39193,50000,3.135440,3.14159265359,0.00615265,0.195845,1790106607277.504395,1790106607320.002441,42.498048
250,39245,50000,3.139600,3.14159265359,0.00199265,0.063428,1790106607277.504395,1790106607320.002441,42.498048
251,39320,50000,3.145600,3.14159265359,0.00400735,0.127558,1790106607277.504395,1790106607320.002441,42.498048
