thread_id,estimate,error,time_us
313,3.24,0.0984073,284.672
314,3.136,0.00559282,284.672
315,3.184,0.0424073,284.672
316,3.184,0.0424073,284.672
317,3.18,0.0384073,284.672
318,3.108,0.0335927,284.672
319,3.136,0.00559282,284.672
320,3.096,0.0455928,283.648
321,3.176,0.0344074,283.648
322,3.14,0.00159264,283.648
323,3.188,0.0464072,283.648
324,3.2,0.0584073,283.648
325,3.1,0.0415928,283.648
326,3.188,0.0464072,283.648
327,3.152,0.0104072,283.648
328,3.14,0.00159264,283.648
329,3.116,0.0255928,283.648
330,3.216,0.0744073,283.648
331,3.116,0.0255928,283.648
332,3.076,0.0655928,283.648
333,3.024,0.117593,283.648
334,3.116,0.0255928,283.648
335,3.236,0.0944073,283.648
336,3.208,0.0664072,283.648
337,3.144,0.00240731,283.648
338,3.136,0.00559282,283.648
339,3.128,0.0135927,283.648
340,3.172,0.0304072,283.648
341,3.156,0.0144072,283.648
342,3.204,0.0624073,283.648
343,3.132,0.00959277,283.648
344,3.208,0.0664072,283.648
345,3.128,0.0135927,283.648
346,3.156,0.0144072,283.648
347,3.076,0.0655928,283.648
348,3.04,0.101593,283.648
349,3.136,0.00559282,283.648
350,3.116,0.0255928,283.648
351,3.128,0.0135927,283.648
352,3.108,0.0335927,283.648
353,3.12,0.0215929,283.648
354,3.016,0.125593,283.648
355,3.16,0.0184073,283.648
356,3.18,0.0384073,283.648
357,3.152,0.0104072,283.648
358,3.124,0.0175927,283.648
359,3.14,0.00159264,283.648
360,3.128,0.0135927,283.648
361,3.216,0.0744073,283.648
362,3.16,0.0184073,283.648
363,3.076,0.0655928,283.648
364,3.236,0.0944073,283.648
365,3.132,0.00959277,283.648
