date,home_team,away_team,home_score,away_score,tournament,winner,venue,home_team_elo,away_team_elo
2010-06-19,Ghana,Australia,1.0,1.0,FIFA World Cup,Draw,Neutral,1700.0,1744.0
2010-06-19,Netherlands,Japan,1.0,0.0,FIFA World Cup,Netherlands,Neutral,2095.0,1785.0
2010-06-19,Niger,Chad,1.0,1.0,Friendly,Draw,Niger,1257.0,1253.0
2010-06-20,Italy,New Zealand,1.0,1.0,FIFA World Cup,Draw,Neutral,1835.0,1496.0
2010-06-20,Lithuania,Estonia,2.0,0.0,Baltic Cup,Lithuania,Lithuania,1598.0,1514.0
2010-06-20,Slovakia,Paraguay,0.0,2.0,FIFA World Cup,Paraguay,Neutral,1671.0,1779.0
2010-06-20,Sudan,Tunisia,2.0,6.0,Friendly,Tunisia,Sudan,1333.0,1584.0
2010-06-21,Chile,Switzerland,1.0,0.0,FIFA World Cup,Chile,Neutral,1803.0,1743.0
2010-06-21,Spain,Honduras,2.0,0.0,FIFA World Cup,Spain,Neutral,2139.0,1688.0
2010-06-22,Greece,Argentina,0.0,2.0,FIFA World Cup,Argentina,Neutral,1727.0,1979.0
2010-06-22,Mexico,Uruguay,0.0,1.0,FIFA World Cup,Uruguay,Neutral,1846.0,1887.0
2010-06-22,South Africa,France,2.0,1.0,FIFA World Cup,South Africa,South Africa,1632.0,2004.0
2010-06-23,Australia,Serbia,2.0,1.0,FIFA World Cup,Australia,Neutral,1744.0,1728.0
2010-06-23,Ghana,Germany,0.0,1.0,FIFA World Cup,Germany,Neutral,1700.0,2068.0
2010-06-23,Slovenia,England,0.0,1.0,FIFA World Cup,England,Neutral,1694.0,1975.0
2010-06-23,United States,Algeria,1.0,0.0,FIFA World Cup,United States,Neutral,1865.0,1399.0
2010-06-24,Cameroon,Netherlands,1.0,2.0,FIFA World Cup,Netherlands,Neutral,1663.0,2095.0
2010-06-24,Denmark,Japan,1.0,3.0,FIFA World Cup,Japan,Neutral,1724.0,1785.0
2010-06-24,Paraguay,New Zealand,0.0,0.0,FIFA World Cup,Draw,Neutral,1779.0,1496.0
2010-06-24,Slovakia,Italy,3.0,2.0,FIFA World Cup,Slovakia,Neutral,1671.0,1835.0
2010-06-25,Chile,Spain,1.0,2.0,FIFA World Cup,Spain,Neutral,1803.0,2139.0
2010-06-25,Portugal,Brazil,0.0,0.0,FIFA World Cup,Draw,Neutral,1863.0,2010.0
2010-06-25,Switzerland,Honduras,0.0,0.0,FIFA World Cup,Draw,Neutral,1743.0,1688.0
2010-06-26,United States,Ghana,1.0,2.0,FIFA World Cup,Ghana,Neutral,1865.0,1700.0
2010-06-27,Argentina,Mexico,3.0,1.0,FIFA World Cup,Argentina,Neutral,1979.0,1846.0
2010-06-27,Germany,England,4.0,1.0,FIFA World Cup,Germany,Neutral,2068.0,1975.0
2010-06-28,Brazil,Chile,3.0,0.0,FIFA World Cup,Brazil,Neutral,2010.0,1803.0
2010-06-28,Netherlands,Slovakia,2.0,1.0,FIFA World Cup,Netherlands,Neutral,2095.0,1671.0
2010-06-29,Paraguay,Japan,0.0,0.0,FIFA World Cup,Draw,Neutral,1779.0,1785.0
2010-06-29,Spain,Portugal,1.0,0.0,FIFA World Cup,Spain,Neutral,2139.0,1863.0
2010-07-01,Chad,Togo,2.0,2.0,African Cup of Nations qualification,Draw,Chad,1253.0,1408.0
2010-07-01,Tunisia,Botswana,0.0,1.0,African Cup of Nations qualification,Botswana,Tunisia,1584.0,1389.0
2010-07-02,Netherlands,Brazil,2.0,1.0,FIFA World Cup,Netherlands,Neutral,2095.0,2010.0
2010-07-02,Uruguay,Ghana,1.0,1.0,FIFA World Cup,Draw,Neutral,1887.0,1700.0
2010-07-03,Argentina,Germany,0.0,4.0,FIFA World Cup,Germany,Neutral,1979.0,2068.0
2010-07-03,Paraguay,Spain,0.0,1.0,FIFA World Cup,Spain,Neutral,1779.0,2139.0
2010-07-06,Uruguay,Netherlands,2.0,3.0,FIFA World Cup,Netherlands,Neutral,1887.0,2095.0
2010-07-07,Germany,Spain,0.0,1.0,FIFA World Cup,Spain,Neutral,2068.0,2139.0
